y,voluntaria,trial,mean_,HRV_sdnn,HRV_rmssd,meanIBI,sum_LF,sum_HF,sum_UHF,LF_energia,HF_energia,UHF_energia,Ratio_LFHF,LFnorm,HFnorm,Rel_power_LF,Rel_power_HF,Rel_power_UHF,sd2,sd1,Lsd2,Tsd1,csi,mcsi,cvi,dfa_bvp,rrate,det,lmax,ent,lam,tt,corDim,nbPeaks,ampPeaks,riseTime,recoveryTime,aup,meanGSR,stdGSR,firstQuartileGSR,thirdQuartileGSR,sp0005,sp0515,sp_energyRatio,dfa,rrate_gsr,det_gsr,lmax_gsr,ent_gsr,lam_gsr,tt_gsr,corDim_gsr,mean_skt,std_skt,kurtosis_,skewness_,sp0001,sp0102
0,1,1,-0.188559044886096,0.0552116871064919,0.0149865531124922,0.588984375,97.014682667483,2.54538809045179,0.439929242065193,4.57486233475446,0.934283129713518,0.821141378489904,4.89665518862281,0.830412332413564,0.169587667586436,0.722694318322045,0.147589383055029,0.129716298622926,0.0782197328869335,0.0107216116787192,0.312878931547734,0.0428864467148767,7.29552004221419,2.28261451589306,-1.87230361514483,-0.0124745456856293,21.6738391527287,90.6350855065475,148,3.55310222783513,76.0804243795675,5.52654271085961,2.3278749228886,0,0,0,0,0,1.43789710361738,0.0127276530022222,1.42820693362301,1.45018149188372,-0.782242851784578,-9.00128201385277,9.00110663089422,1.96309287007561,14.4282171397079,98.2429335370512,190,4.52274492662118,97.8227654698243,7.17366946778712,0.352629380738768,33.0881466270374,0.0140275373258561,2.26973444777702,0.679022021026481,9.45762795019685,0.612311065129087
0,1,1,-0.187674241024883,0.0361286902345562,0.0126326297077581,0.626532258064516,93.4142538887002,4.5661273825409,2.01961872875888,4.53704394481894,1.51866544577823,0.702908745458773,2.98752036364005,0.749217581653391,0.250782418346609,0.671297572001394,0.224700584528727,0.104001843469879,0.0500051721462822,0.00892899834775733,0.200020688585129,0.0357159933910293,5.60031150177577,1.12017816287641,-2.14606234803787,0.0148063595072254,22.2599662715602,90.2676442967565,114,3.52615652283064,77.505779094127,5.68731778425656,2.31076239322676,0,0,0,0,0,1.41822778672777,0.0101695371837509,1.41078006430132,1.42820693362301,-0.783401610887404,-8.99398309310755,8.99380634317473,1.99338646357768,7.7688827010094,95.5197132616487,169,2.88285606369205,83.1541218637993,3.83471074380165,1.07925666675745,33.1185642900274,0.0252877930729386,1.85818452889267,-0.100049727943823,9.4597502320683,0.599987786930097
0,1,1,-0.187891634637532,0.0291937104060571,0.00931229026609459,0.590909090909091,93.926303735226,5.32714048061615,0.746555784157867,4.54251047196232,1.67281459901875,0.292284937188877,2.71548949574383,0.730856458847341,0.269143541152659,0.698030531371648,0.257055139585596,0.044914329042756,0.0412785519465794,0.00666656165911925,0.165114207786317,0.026666246636477,6.19188032111187,1.02236741392808,-2.35625366326658,0.00674661746434491,28.8822378960529,88.3025958661006,220,3.32454215307079,79.0395991370311,6.38224220286597,1.8888200198656,0,0,0,0,0,1.40131661703455,0.00981472391597898,1.39415872466961,1.41078006430132,-0.781924152326732,-8.9973365565946,8.9971607244778,1.82144741490197,7.21863034335572,95.304347826087,178,2.76708923625183,75.9130434782609,4.2378640776699,0.817585203769017,33.1307057112636,0.0313724400207587,2.68104251397393,-0.937845670319438,9.46235234937985,0.615258431378388
0,1,1,-0.188997365076519,0.0276931450409314,0.00756690587467091,0.59484375,91.5269917706258,6.29825408621087,2.17475414316329,4.51663392080858,1.84027246581722,0.77691562052534,2.45432891308453,0.710508169557295,0.289491830442705,0.633129606581294,0.257964449347416,0.10890594407129,0.0383987286975936,0.00522607194334227,0.153594914790374,0.0209042877733691,7.34753159043504,1.12854348855246,-2.49338778729666,0.00708048120996521,28.7732938293839,85.3759745158857,225,3.1652127280033,78.8400815938749,5.77426451777948,1.92991590372948,0,0,0,0,0,1.38399973115324,0.0106886482104996,1.37604468926083,1.39415872466961,-0.782748626445451,-8.99450773200218,8.99433119784814,1.94281012304446,14.0370869159847,97.7859778597786,196,4.1037205284307,94.3173431734317,7.11977715877437,0.508615462057863,33.0954965245721,0.0396307210296324,2.01723028075204,0.810945479376327,9.45674024964777,0.629536074490431
0,1,1,-0.189007553518147,0.0460255337143914,0.0143147027313079,0.629224137931034,80.0415442766745,15.5890217028151,4.3694340205105,4.38254580334093,2.74656692951734,1.47463348596242,1.59564500549458,0.614739304533881,0.385260695466119,0.509376461355185,0.319229189200075,0.17139434944474,0.0606589967679065,0.00933467960811958,0.242635987071626,0.0373387184324783,6.49824089464662,1.57670709370179,-2.04288537769627,-0.0166038375092977,27.0748116091762,87.579622563067,172,3.35882054762135,81.5438982019035,6.10211111111111,2.36464395631733,0,0,0,0,0,1.36591308948791,0.0105628039748271,1.35668683844137,1.37604468926083,-0.782493711529767,-8.99718658635174,8.99701052509964,1.90154531872132,8.37478155666084,96.4686998394864,172,3.03770187540778,91.3322632423756,3.92413793103448,0.950769791323704,33.0707889617855,0.0372264516843706,2.9295085583763,-0.70828325741208,9.45861527489282,0.605331927913619
0,1,1,-0.188152810287515,0.0608554574340493,0.0202660870844444,0.663620689655172,89.9334286028111,7.61720927764698,2.44936211954189,4.49906971443943,2.03041006608831,0.895827631286591,2.21584289281382,0.689039535409327,0.310960464590673,0.605910229020418,0.273444579931835,0.120645191047747,0.0828142563705131,0.0138395950639602,0.331257025482052,0.0553583802558408,5.98386412230878,1.98219703004478,-1.73665152769217,-0.00558155845586215,27.4655630217305,90.8402980050058,120,3.6788134627315,84.4081614730463,6.91344482407241,2.4296938913933,0,0,0,0,0,1.34807363895919,0.00995647290059973,1.33983167609995,1.35668683844137,-0.782573371202612,-8.99725562113996,8.9970794569189,1.94938635309913,13.1510068906576,98.9439480097482,193,4.26992618953895,96.6693744922827,6.34666666666667,0.832990311032954,32.9696009546423,0.113790702813814,1.39804393481742,0.0571805786903435,9.4514023485932,0.564954702906056
0,1,1,-0.186797162990525,0.0514071181738657,0.017821127702606,0.680892857142857,95.4019680474465,3.71557236700146,0.882459585551986,4.55809920766962,1.31253273548168,0.125042286631841,3.47275087656907,0.776423944101471,0.223576055898529,0.760231298930075,0.21891328400762,0.0208554170623049,0.0724391875812802,0.0128241447846899,0.289756750325121,0.0512965791387597,5.64865640535824,1.63673632371978,-1.82787803380499,0.00569697793348955,27.8812389071021,91.9371350299185,144,3.89563063639199,85.2382668877514,7.33780177496431,2.5741944374412,0,0,0,0,0,1.3324694658036,0.00790435502420251,1.32618264305231,1.33983167609995,-0.782709273871028,-8.99466365986665,8.99448712772329,1.9395715325057,12.8299807109397,97.766323024055,190,4.23826101434753,96.9501718213058,6.28690807799443,0.518403276921217,32.8973431678373,0.051784733667065,1.82929577644748,0.207861695426884,9.44415363232657,0.577930334930154
1,1,2,-0.201264956991826,0.0167020395926755,0.00882750615797779,0.727030606995885,74.1843893097164,19.627199289979,6.18841140030456,4.30655374137745,2.97691632312099,1.82267841406659,1.44664924167653,0.591277743059415,0.408722256940585,0.472928126695348,0.326912780977419,0.200159092327233,0.0212715394683152,0.0063595602605076,0.0850861578732607,0.0254382410420304,3.34481294255671,0.284597282086906,-2.66465400858368,-0.00604423225739763,23.7341282364126,91.5479598231677,139,3.84310174373257,83.6955232981588,6.77911922074359,2.58090814646811,0,0,0,0,0,1.15451958452478,0.00324300039460748,1.1523537332513,1.1565090355755,-0.783024205044702,-8.99457682352454,8.99440013218635,1.51479551660126,2.4025974025974,70.8108108108108,43,2.53063906222957,27.2972972972973,3.25806451612903,0.223061934848252,33.0155906586713,0.0332212419837818,1.81442362459599,0.255490813917797,9.45334139907241,0.584574943571191
1,1,2,-0.205084563086271,0.0522903821065266,0.0231840462387392,0.684553571428572,80.5098844397688,16.6817843149798,2.80833124525145,4.38837996495834,2.81431736452949,1.0325904440394,1.55930529380506,0.609268967473105,0.390731032526895,0.532875120534952,0.341738800382455,0.125386079082593,0.0701559490972234,0.0167010862536328,0.280623796388894,0.0668043450145311,4.2006818018776,1.17881127466463,-1.72707079406495,0.0190998087109662,23.8683987835249,90.7668468832634,104,3.71034551003491,83.1539588701935,6.75066657551104,2.53626775340485,0,0,0,0,0,1.15174458500937,0.00197872843702412,1.15039533290017,1.15300966959459,-0.782638469720269,-8.99497796805328,8.99480132227995,1.13587500625106,2.04841713221601,67.2727272727273,24,2.18670434591002,26.6666666666667,3.66666666666667,0.369247127591627,33.0564253306268,0.0201801648103636,2.07399314764905,-0.481021955851804,9.45702509995713,0.576831256053452
1,1,2,-0.204136130122067,0.05773925092936,0.0255947766661987,0.687946428571429,94.9793300467272,4.23168726722115,0.78898268605167,4.55365928947141,1.442600794666,0.237010902544758,3.15656230490687,0.759416573927092,0.240583426072908,0.730540882820694,0.231435597417187,0.0380235197621198,0.0805584474871411,0.0184352740821592,0.322233789948564,0.0737410963286367,4.36979928413985,1.40809698464291,-1.62411933062713,0.00187160105862924,25.5813532782717,90.9450922462834,108,3.76470129807327,84.6560015086275,6.96895213454075,2.31697089111306,0,0,0,0,0,1.15147192542772,0.00254418436827549,1.14946879443085,1.15343368871581,-0.781171815814148,-9.01000883176674,9.00983458010981,1.39106292969106,3.13277882338656,78.2945736434109,29,2.64940834155678,45.5426356589147,3.79032258064516,1.00729079748898,33.080930829814,0.0147767984331317,2.19510737407323,-0.715493018024772,9.45755544234113,0.586653496255248
